,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Label
255,33,0,2,13,19,7,10,13,0,28,0,6,23,0,0,3,0
256,22,0,7,4,11,7,6,8,0,8,0,5,18,0,0,0,0
257,29,0,5,14,17,8,5,5,1,20,0,3,29,2,0,1,1
258,15,0,3,6,9,2,7,1,0,7,1,1,16,2,0,0,1
259,15,1,3,4,2,4,2,3,0,6,0,5,12,0,0,1,0
260,16,0,4,7,6,4,3,6,2,8,0,3,11,0,0,0,1
261,23,0,6,11,7,6,4,11,0,16,0,1,21,0,0,7,0
262,136,2,27,72,66,23,34,35,1,90,7,23,145,12,0,21,0
263,8,0,0,0,3,3,1,0,0,2,0,1,9,1,0,0,1
264,173,1,58,82,50,31,32,47,3,103,7,45,169,2,0,22,0
265,38,0,19,30,15,19,8,14,1,32,1,7,43,0,0,8,0
266,10,0,5,1,3,2,2,5,0,8,0,0,10,0,0,0,0
267,11,0,4,4,2,9,6,4,0,5,2,3,14,2,0,1,1
268,19,1,11,11,11,6,5,7,0,16,0,2,19,2,0,1,0
269,19,0,11,12,6,2,2,7,1,14,5,2,14,0,0,2,1
270,18,0,7,8,6,6,3,5,1,18,1,3,26,1,0,1,1
271,26,0,6,6,19,4,7,4,0,12,1,5,26,1,0,3,0
272,11,0,4,10,10,3,2,7,0,17,0,2,10,0,0,1,0
273,43,0,11,28,24,14,12,23,0,44,1,7,55,0,0,6,0
274,55,0,11,36,11,12,16,17,0,38,7,18,59,0,0,3,1
275,25,0,9,6,12,8,8,9,2,16,1,3,25,0,0,1,1
276,14,0,7,7,9,13,6,8,0,15,1,0,18,0,0,1,1
277,36,0,7,10,8,5,12,4,1,17,0,7,32,3,0,5,1
278,2,0,1,1,1,1,1,2,0,1,0,0,3,0,0,0,0
279,14,0,4,9,13,2,3,4,0,12,3,0,18,0,0,0,0
280,10,0,2,9,1,2,2,5,0,10,0,2,13,0,0,1,1
281,5,0,5,1,3,1,0,4,0,5,1,2,5,0,0,1,1
282,43,0,13,15,8,17,7,22,0,42,1,6,45,3,0,3,0
283,25,0,7,4,9,4,3,8,2,9,1,4,21,2,0,4,1
284,19,0,5,17,8,7,5,13,0,28,2,5,18,0,0,1,0
285,19,1,2,8,1,8,5,8,0,17,1,4,22,2,0,2,1
286,19,0,3,1,7,5,4,3,0,7,0,5,14,1,0,2,1
287,14,0,4,5,9,7,2,5,0,10,1,2,16,0,0,0,0
288,61,1,23,27,27,21,7,27,0,43,1,12,60,3,0,8,0
289,37,0,9,15,18,7,14,14,1,28,4,5,47,0,0,1,0
290,43,0,4,16,5,12,9,16,0,22,1,9,41,1,0,3,1
291,12,0,5,8,1,3,2,4,0,14,2,1,12,3,0,1,0
292,26,0,11,10,11,17,7,8,0,7,0,2,32,0,0,6,0
293,26,0,4,11,14,8,5,11,0,11,1,4,28,3,0,0,1
294,28,1,13,19,19,8,3,7,0,21,2,6,27,1,0,6,1
295,25,0,9,14,12,9,2,16,1,24,1,4,36,0,0,12,0
296,15,0,6,7,2,5,2,8,0,10,1,0,18,1,0,3,0
297,23,0,6,14,5,4,2,12,0,23,0,2,25,0,0,2,0
298,23,0,4,7,3,5,3,2,0,8,0,4,23,2,0,3,1
299,12,0,2,5,3,3,2,4,0,5,0,3,11,0,0,2,1
300,35,0,7,13,17,7,6,13,0,28,7,12,34,0,0,3,1
301,27,0,8,12,17,12,6,13,0,12,0,4,30,1,0,2,0
