,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Label
177,22,0,3,5,6,2,0,0,0,15,1,0,2,2,15,0,0,0
178,21,0,11,3,10,1,0,1,0,18,1,0,2,5,16,1,0,1
179,17,0,8,0,6,2,0,0,1,14,6,0,0,1,16,1,0,0
180,7,0,6,0,1,1,0,0,1,13,0,1,1,0,8,0,0,1
181,10,0,2,0,3,0,0,0,0,9,0,0,0,1,2,0,1,1
182,37,0,15,4,8,3,0,2,2,25,1,4,8,0,5,0,0,0
183,12,0,6,1,3,1,0,0,0,31,0,0,0,0,15,1,0,0
184,12,0,11,0,4,3,0,0,0,19,0,0,3,3,5,0,0,1
185,14,0,8,1,8,8,0,2,0,23,2,2,2,0,14,0,0,1
186,10,0,9,0,2,0,0,0,0,19,3,0,2,0,11,0,0,0
187,7,0,3,0,1,1,0,0,4,5,1,2,2,0,3,0,0,0
188,15,0,4,0,3,2,1,1,0,19,0,0,1,0,16,0,0,1
189,29,0,10,0,7,1,2,0,1,34,2,1,0,4,37,0,0,0
190,6,0,4,0,2,3,0,1,0,9,0,4,0,1,7,0,0,0
191,26,0,8,0,2,20,0,0,1,9,0,6,0,0,25,0,0,0
192,51,0,9,0,10,2,1,0,3,33,1,0,0,2,31,0,0,1
193,21,0,6,0,3,4,0,0,0,14,1,3,2,1,14,0,0,1
194,19,0,8,1,4,2,0,1,0,17,0,0,1,2,15,1,0,0
195,25,0,7,2,3,1,0,0,0,20,1,2,3,2,4,0,0,0
196,24,0,9,1,6,1,0,0,0,41,9,1,1,0,21,1,0,1
197,9,0,7,0,7,0,0,0,1,6,0,1,0,0,6,0,0,1
198,32,1,13,1,11,3,1,1,2,49,2,2,0,7,33,0,1,1
199,4,0,1,0,1,1,0,0,0,5,2,1,1,0,3,0,0,0
200,11,0,3,0,3,0,0,0,0,21,0,0,2,6,14,1,0,1
201,5,0,2,0,1,1,0,0,1,12,0,1,0,0,2,0,0,0
202,59,2,19,5,16,16,0,1,2,48,5,6,6,4,51,3,0,0
203,5,0,6,0,1,2,0,0,0,13,1,0,1,2,8,0,0,1
204,22,0,7,2,4,2,0,3,2,26,0,2,0,2,8,1,0,1
205,17,0,6,0,4,3,0,1,0,25,3,0,1,2,11,0,0,0
206,46,0,28,7,14,7,1,0,0,85,1,2,2,1,49,2,0,0
207,12,0,5,0,8,2,0,1,0,10,1,1,3,0,10,0,0,1
208,20,0,7,0,7,2,2,0,0,29,3,0,3,2,10,1,1,1
209,23,0,12,1,11,7,0,3,1,14,2,1,0,0,18,0,0,0
210,7,0,6,0,3,0,0,0,0,4,0,0,0,0,12,0,1,0
211,21,0,10,1,7,0,0,0,1,16,1,0,0,2,21,0,0,1
212,69,0,25,3,16,12,0,1,3,67,5,11,5,3,56,3,0,0
213,79,0,47,4,39,6,0,2,1,100,1,1,1,4,78,2,0,0
214,19,0,5,2,5,3,0,1,0,31,0,0,1,2,22,0,0,0
215,5,0,2,0,0,0,0,0,1,6,0,0,0,0,2,0,0,0
216,13,0,6,0,4,2,0,0,1,18,1,0,2,0,12,0,0,1
217,14,0,4,1,5,2,0,0,1,12,0,0,0,0,7,1,0,1
218,18,0,4,0,6,0,0,1,0,13,1,0,1,0,15,0,0,0
219,6,0,3,0,0,1,0,0,1,11,0,1,0,1,9,0,0,1
220,19,0,4,0,4,1,0,0,1,17,0,0,1,1,17,0,0,0
221,5,0,2,0,3,1,0,0,0,10,0,0,1,1,4,0,0,1
222,10,0,2,0,2,0,0,0,0,9,1,0,3,3,7,1,0,1
223,11,0,7,1,5,0,0,0,2,13,1,0,0,2,17,0,0,1
224,7,0,2,0,3,1,0,0,0,10,0,0,1,0,7,0,0,0
225,15,0,2,2,5,1,0,0,0,11,0,0,0,1,7,0,0,1
226,8,1,0,0,3,2,0,0,0,3,0,4,1,0,9,0,0,0
227,15,0,5,0,3,3,0,1,0,16,1,1,0,0,9,0,0,1
228,26,0,12,3,8,2,0,1,3,26,2,0,1,3,35,2,1,0
229,15,0,7,2,6,1,0,0,0,16,1,0,3,3,12,0,0,0
